participant_no,avg_rwa,intro_elapse_t,test_elapse_t,survey_elapse_t,country_ip,education_level,urban_classification,gender,english_native,age,handedness,religion,sexual_preference,race,voted,married,family_size,survey_accurate,major
6998,4.65,29,180,154,NA,graduate degree,suburban,female,yes,55,right,christian (other),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,business
6999,5.45,40,225,173,NA,high school,urban,male,no,15,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7000,4.4,18,227,216,NA,graduate degree,rural,female,yes,64,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,political science
7001,4.85,1049,92,111,NA,university degree,suburban,female,yes,21,right,agnostic,asexual,white or indigenous australian or native american,yes,never married,2,TRUE,history
7002,5.1,3,346,334,NA,graduate degree,rural,female,yes,45,right,christian (protestant),homosexual,white or indigenous australian or native american,yes,never married,4,TRUE,law
7003,4.4,2,293,137,NA,high school,urban,male,yes,16,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,5,TRUE,NA
7004,4.95,111,205,164,NA,high school,suburban,female,no,21,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,sociology
7005,4.85,2,213,140,NA,high school,urban,male,yes,16,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,5,TRUE,NA
7006,4.85,26,659,175,NA,high school,suburban,male,yes,18,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7007,5,21,312,257,NA,less than high school,suburban,female,no,17,right,agnostic,homosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7008,4.4,3,89,99,NA,less than high school,suburban,male,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7009,4.55,244,239,89,NA,less than high school,suburban,female,yes,13,left,agnostic,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,psychology
7010,5.65,36,290,171,NA,graduate degree,suburban,male,yes,35,right,christian (mormon),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,civil engineering
7011,4.6,55,148,140,NA,high school,urban,male,yes,18,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7012,4.8,5,697,210,NA,university degree,suburban,female,yes,55,right,atheist,heterosexual,white or indigenous australian or native american,yes,previously married,4,TRUE,psychology
7013,5.5,11,297,232,NA,university degree,suburban,female,yes,50,right,other,heterosexual,white or indigenous australian or native american,yes,previously married,4,TRUE,nursing
7014,4.8,23,376,649,NA,high school,urban,male,yes,19,right,agnostic,asexual,white or indigenous australian or native american,yes,never married,4,TRUE,NA
7015,5.55,12,192,4961,NA,university degree,suburban,male,yes,33,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,russian studies
7016,5.05,20,215,2720,NA,high school,rural,male,no,15,right,atheist,heterosexual,other,no,never married,1,TRUE,NA
7017,5,107,80,79,NA,graduate degree,suburban,male,no,22,left,atheist,heterosexual,other,no,never married,1,TRUE,commerce
7018,3.5,5,309,224,NA,university degree,urban,male,yes,40,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,horticulture
7019,5.5,6,152,113,NA,high school,suburban,male,yes,37,right,agnostic,heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,NA
7020,4.15,5,203,109,NA,university degree,rural,female,no,23,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,sociology
7021,4.9,8469,170,123,NA,university degree,suburban,other,yes,42,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,1,TRUE,english
7022,4.4,185,323,288,NA,high school,rural,female,yes,17,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7023,5.35,30,248,108,NA,graduate degree,suburban,male,yes,53,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,english
7024,5.05,5,280,148,NA,high school,urban,male,no,23,right,NA,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,sociology
7025,4.95,25,301,157,NA,high school,urban,female,yes,15,right,christian (mormon),heterosexual,white or indigenous australian or native american,no,never married,6,TRUE,psychology
7026,4.4,731,138,112,NA,university degree,suburban,male,no,25,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,sociology
7027,5.5,1,10512,148,NA,less than high school,suburban,male,yes,16,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7028,4.85,10940,127,115,NA,graduate degree,suburban,female,yes,29,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,political science
7029,5,7,234,166,NA,university degree,urban,female,yes,20,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,economics
7030,4.6,8,178,157,NA,university degree,suburban,male,yes,60,right,agnostic,heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,forestry
7031,4.4,34,508,226,NA,university degree,suburban,female,yes,23,right,atheist,other,white or indigenous australian or native american,no,never married,2,TRUE,psychology
7032,5.6,12,285,197,NA,university degree,rural,female,no,34,right,christian (other),heterosexual,asian,no,currently married,6,TRUE,psychology
7033,4.95,30,133,122,NA,high school,suburban,female,yes,19,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,psychology
7034,5.2,2,207,131,NA,university degree,urban,male,no,27,right,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,computer science
7035,5.3,43,609,237,NA,high school,urban,male,yes,31,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
7036,4.7,52,339,194,NA,university degree,suburban,male,no,21,right,atheist,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,sociology
7037,5.6,13,166,111,NA,graduate degree,urban,female,no,26,right,buddhist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,political science
7038,5.4,58,218,197,NA,university degree,urban,female,no,23,right,atheist,heterosexual,asian,yes,never married,2,TRUE,communications
7039,5.4,64,500,180,NA,high school,rural,male,no,21,right,christian (other),homosexual,white or indigenous australian or native american,yes,never married,5,TRUE,sociology and law (two majors)
7040,4.85,106,1120,134,NA,NA,suburban,female,yes,18,right,atheist,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7041,5.6,17,376,163,NA,high school,rural,male,no,23,right,atheist,heterosexual,other,yes,never married,1,TRUE,sociology
7042,5,9,141,206,NA,high school,suburban,male,yes,26,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,business
7043,4.35,3,263,132,NA,university degree,suburban,male,yes,23,left,atheist,heterosexual,asian,no,never married,2,TRUE,illustrations
7044,5,92,1535,321,NA,high school,rural,female,no,19,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
7045,5.55,30,192,332,NA,university degree,suburban,male,no,24,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,physics
7046,5.25,20,263,181,NA,university degree,suburban,female,yes,26,right,agnostic,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,"psychology, philosophy"
7047,4.85,2,205,162,NA,high school,urban,female,yes,23,right,other,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,"psychology, music"
7048,5.15,191,111,83,NA,university degree,suburban,female,yes,23,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,philosophy
7049,4.85,5,199,147,NA,high school,urban,male,no,36,right,muslim,heterosexual,asian,yes,previously married,2,TRUE,NA
7050,4.15,8,229,169,NA,graduate degree,suburban,female,yes,28,right,christian (catholic),bisexual,white or indigenous australian or native american,no,never married,2,TRUE,history
7051,5.2,14,442,402,NA,graduate degree,NA,female,yes,25,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,mathematics
7052,4.45,37,4679,323,NA,high school,urban,female,no,21,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,sociology
7053,5.15,16,2082,261,NA,high school,suburban,female,yes,27,left,christian (other),heterosexual,asian,no,never married,2,TRUE,history
7054,5,644,279,210,NA,university degree,suburban,male,no,22,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,sociology
7055,3.85,2,164,107,NA,high school,suburban,female,yes,37,right,other,bisexual,white or indigenous australian or native american,no,currently married,4,TRUE,nursing
7056,5.35,2,198,122,NA,graduate degree,rural,female,yes,68,right,jewish,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,music
7057,5,187,235,243,NA,high school,suburban,male,no,30,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,sociology
7058,4.75,31,583,128,NA,university degree,rural,female,no,22,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,6,TRUE,sociology
7059,5,1905,210,327,NA,graduate degree,rural,male,yes,25,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,educational psychology
7060,5.15,174,352,229,NA,university degree,suburban,male,no,28,right,other,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,psychology
7061,5.8,2,195,130,NA,less than high school,urban,male,yes,15,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7062,5.05,32,1366,3,NA,high school,rural,male,no,22,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,sociology
7063,4.6,2,451,165,NA,university degree,suburban,female,no,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,sociology
7064,5.15,57,365,213,NA,high school,suburban,male,no,25,right,other,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,sociology
7065,4.8,3,232,154,NA,high school,rural,male,yes,17,left,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7066,4.7,27,159,171,NA,high school,urban,female,no,21,right,agnostic,other,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7067,4.75,7,221,139,NA,high school,rural,male,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7068,5.35,12,203,280,NA,graduate degree,urban,female,yes,60,right,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,3,TRUE,civil engineering
7069,4.65,6448,275,123,NA,university degree,urban,male,no,25,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,history
7070,4.55,3,283,172,NA,high school,suburban,female,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7071,5,15,155,120,NA,high school,suburban,male,yes,21,right,atheist,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,political science
7072,5.1,46,201,109,NA,graduate degree,urban,male,yes,16,right,agnostic,bisexual,asian,yes,never married,3,TRUE,computing
7073,9,4,90,258,NA,less than high school,suburban,male,yes,99,right,muslim,heterosexual,black,yes,never married,100,TRUE,none
7074,4.15,2,554,531,NA,high school,suburban,male,yes,15,right,other,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,astrophysics
7075,5.2,3,297,174,NA,university degree,suburban,female,yes,46,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,business
7076,5.2,8,166,133,NA,university degree,suburban,other,yes,36,right,agnostic,homosexual,white or indigenous australian or native american,yes,never married,3,TRUE,fine art
7077,5,3,180,316,NA,university degree,suburban,male,yes,45,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,mathematics
7078,5.2,2,129,69,NA,less than high school,suburban,male,yes,16,right,agnostic,heterosexual,asian,no,never married,2,TRUE,NA
7079,4.8,9,268,232,NA,graduate degree,rural,female,yes,78,right,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,archaeology/history
7080,5.15,17,164,123,NA,graduate degree,urban,male,yes,65,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,philosophy
7081,5.65,2,261,142,NA,high school,suburban,male,yes,16,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7082,4.9,3,139,115,NA,high school,rural,female,yes,16,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7083,5.3,8,525,217,NA,university degree,suburban,male,yes,36,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,history
7084,4.15,1,257,156,NA,graduate degree,suburban,male,yes,35,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,6,TRUE,criminal justice
7085,5.2,12,311,147,NA,high school,rural,female,yes,16,right,atheist,asexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7086,4.65,35,140,122,NA,high school,urban,male,yes,18,both,christian (catholic),bisexual,white or indigenous australian or native american,yes,never married,4,TRUE,NA
7087,4.4,4,244,165,NA,university degree,rural,male,yes,22,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,criminal justice
7088,5.3,2,156,109,NA,graduate degree,suburban,female,yes,50,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,psychology
7089,5.3,13,426,112,NA,graduate degree,urban,female,yes,42,right,agnostic,bisexual,NA,yes,currently married,1,TRUE,sociology
7090,4.95,10,188,120,NA,high school,suburban,male,yes,17,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7091,4.3,2,205,189,NA,less than high school,urban,male,yes,16,right,other,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,journalism
7092,4.65,25,227,180,NA,graduate degree,suburban,male,yes,66,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,psychology
7093,5.15,288,136,81,NA,high school,suburban,female,yes,25,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,computer science and digital arts
7094,5.25,2,185,163,NA,university degree,suburban,male,yes,60,right,other,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,humanities
7095,5.3,4,4224,233,NA,university degree,urban,male,yes,68,right,atheist,bisexual,white or indigenous australian or native american,no,previously married,7,TRUE,psychology
7096,4.7,608,448,153,NA,university degree,urban,male,no,39,right,christian (catholic),heterosexual,arab,no,never married,2,TRUE,computer science
7097,4.25,31,286,143,NA,university degree,rural,female,yes,45,both,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,0,TRUE,english literature
7098,4.2,3,258,210,NA,high school,suburban,male,yes,30,left,christian (other),heterosexual,other,yes,previously married,2,TRUE,NA
7099,5.05,648,227,223,NA,high school,rural,female,no,18,both,atheist,other,white or indigenous australian or native american,no,never married,3,TRUE,NA
7100,5.4,15,128,122,NA,university degree,suburban,female,yes,29,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,biochemistry
7101,4.95,14,357,126,NA,high school,urban,male,yes,37,right,christian (catholic),heterosexual,other,no,currently married,5,TRUE,NA
7102,5.15,398,336,199,NA,high school,urban,male,no,22,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7103,5.2,10,305,201,NA,university degree,urban,male,no,31,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,economics
7104,4.9,4,470,211,NA,high school,suburban,female,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7105,4.65,10,266,152,NA,high school,suburban,female,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
7106,4.3,15,458,213,NA,high school,urban,female,yes,17,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7107,5.65,6,595,87,NA,less than high school,suburban,female,yes,15,right,atheist,heterosexual,other,no,NA,3,TRUE,neurology
7108,4.2,12,232,157,NA,high school,urban,female,yes,23,right,other,bisexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
7109,4.55,2,138,87,NA,graduate degree,urban,male,yes,41,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,history
7110,4.4,194,135,102,NA,university degree,urban,female,no,24,right,other,asexual,white or indigenous australian or native american,yes,never married,2,TRUE,economics - business informatics
7111,5.15,4,173,122,NA,university degree,suburban,female,yes,28,right,atheist,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,computer science
7112,5.1,3,312,250,NA,graduate degree,suburban,female,yes,48,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,psychology
7113,4.55,168,400,144,NA,less than high school,urban,female,no,17,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7114,5.1,64,444,182,NA,university degree,urban,male,no,39,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,computer engineering
7115,5.65,131,332,196,NA,university degree,rural,male,yes,22,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,humanities
7116,5.15,18,140,119,NA,high school,rural,male,yes,61,right,atheist,heterosexual,other,yes,never married,0,TRUE,NA
7117,5.4,5,239,165,NA,high school,rural,male,yes,17,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7118,4.25,172,205,376,NA,high school,rural,female,yes,18,right,other,heterosexual,asian,no,never married,3,TRUE,no
7119,4.4,2,455,120,NA,high school,suburban,female,yes,18,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7120,4.5,9,263,301,NA,less than high school,suburban,male,yes,17,right,other,heterosexual,NA,no,never married,2,TRUE,NA
7121,4.75,3,770,210,NA,university degree,suburban,male,yes,33,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,marketing
7122,4.5,9,211,148,NA,university degree,rural,male,no,35,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7123,4.5,3,113,98,NA,high school,suburban,male,yes,17,right,christian (protestant),bisexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7124,4.1,3,220,181,NA,graduate degree,urban,male,no,30,left,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7125,5.55,14,213,112,NA,high school,urban,male,no,20,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,medicine
7126,4.9,7,155,125,NA,university degree,urban,male,no,27,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,history
7127,4.85,3,138,93,NA,university degree,rural,male,yes,45,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,computer science
7128,4.3,4,187,128,NA,university degree,suburban,female,no,43,right,christian (catholic),bisexual,white or indigenous australian or native american,yes,never married,4,TRUE,marketing
7129,4.8,47,550,986,NA,high school,suburban,male,yes,33,right,christian (protestant),heterosexual,asian,yes,never married,2,TRUE,NA
7130,6.75,3,179,158,NA,graduate degree,rural,male,no,35,right,other,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
7131,4.05,131,103,78,NA,high school,urban,male,yes,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7132,5.25,2,385,121,NA,university degree,rural,female,yes,26,right,atheist,asexual,white or indigenous australian or native american,no,never married,1,TRUE,sociology
7133,5.4,30,244,218,NA,university degree,suburban,male,no,34,left,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,architecture
7134,4.85,27,105,90,NA,less than high school,suburban,male,yes,17,left,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7135,5.15,3,225,246,NA,university degree,urban,male,no,22,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,computer engineering
7136,5.45,17,162,114,NA,high school,urban,male,no,19,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,history
7137,5,1,96,129,NA,graduate degree,urban,male,no,30,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7138,3.6,10,190,136,NA,university degree,urban,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,finance
7139,4.6,2,165,102,NA,graduate degree,rural,male,yes,30,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,computing science
7140,5,28,138,88,NA,university degree,rural,male,no,26,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,statistics
7141,4.5,5,119,98,NA,high school,urban,male,yes,32,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,computing
7142,4.35,9,178,143,NA,high school,urban,male,no,47,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7143,4.9,3,208,226,NA,graduate degree,rural,male,no,28,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
7144,5.6,10,188,91,NA,high school,suburban,male,no,21,right,agnostic,heterosexual,other,yes,never married,1,TRUE,NA
7145,6.1,7,146,98,NA,graduate degree,rural,male,yes,30,left,atheist,heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,molecular genetics
7146,4.35,3,192,216,NA,university degree,rural,male,yes,32,right,other,heterosexual,other,no,never married,2,TRUE,math
7147,5.55,56,168,142,NA,graduate degree,suburban,male,no,22,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,chemical engineering
7148,5.3,18,193,151,NA,high school,suburban,male,no,24,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,pedagogy
7149,4.25,34,219,163,NA,university degree,suburban,male,no,21,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,english/p.e teacher
7150,4.95,15,183,128,NA,university degree,suburban,male,no,22,right,christian (catholic),asexual,other,yes,never married,2,TRUE,politics
7151,4.95,4,167,124,NA,high school,rural,male,yes,24,right,other,bisexual,white or indigenous australian or native american,yes,never married,4,TRUE,NA
7152,5,2,81,81,NA,university degree,urban,male,yes,37,right,atheist,homosexual,white or indigenous australian or native american,yes,never married,4,TRUE,psychology
7153,4.8,9,265,175,NA,high school,urban,male,yes,35,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,8,TRUE,NA
7154,4.8,19,259,316,NA,high school,urban,male,no,23,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7155,2.5,17,221,139,NA,high school,rural,male,yes,22,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
7156,5.05,30,268,146,NA,high school,urban,male,yes,23,left,jewish,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,pols sci
7157,5.8,48,104,87,NA,university degree,urban,male,yes,23,right,buddhist,heterosexual,asian,yes,never married,2,TRUE,accounting
7158,5.7,10,200,183,NA,high school,urban,male,yes,47,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,NA
7159,4.8,16,238,205,NA,high school,rural,female,yes,28,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7160,4.75,27,223,99,NA,university degree,suburban,male,no,19,right,christian (catholic),heterosexual,other,yes,never married,2,TRUE,law school
7161,5.45,77,605,170,NA,high school,urban,male,no,20,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
7162,4.95,22,308,189,NA,university degree,suburban,male,yes,28,right,agnostic,heterosexual,other,no,never married,3,TRUE,design
7163,5.4,15,121,84,NA,graduate degree,suburban,male,yes,25,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,computer science
7164,5.45,22,172,139,NA,graduate degree,rural,male,yes,34,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,anthropology
7165,5.2,10,149,110,NA,university degree,suburban,male,yes,32,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,electrical engineering
7166,5.3,1,175,124,NA,high school,urban,male,no,29,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,computer science
7167,5.35,16,150,82,NA,university degree,suburban,male,yes,23,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,computer science
7168,4.55,12,200,347,NA,less than high school,suburban,male,no,24,right,agnostic,bisexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
7169,4.95,9,175,108,NA,university degree,rural,male,yes,26,both,other,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,chemistry
7170,5.35,2,170,119,NA,high school,urban,male,yes,32,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
7171,4.7,6,155,111,NA,university degree,suburban,male,yes,25,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,software engineering
7172,4.9,2,333,213,NA,high school,rural,male,yes,22,right,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7173,5.25,2,194,198,NA,graduate degree,suburban,female,yes,60,right,atheist,bisexual,white or indigenous australian or native american,no,currently married,1,TRUE,medieval studies
7174,4.9,2,238,160,NA,university degree,suburban,male,no,36,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7175,5.05,26,321,169,NA,high school,urban,male,no,22,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,law
7176,5.45,55,220,162,NA,university degree,urban,male,no,27,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,computer science
7177,5,3,255,163,NA,graduate degree,urban,other,no,38,right,other,homosexual,other,no,never married,1,TRUE,NA
7178,4.9,6,222,147,NA,high school,suburban,male,no,19,left,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7179,5.2,9,158,247,NA,high school,urban,male,yes,43,both,other,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
7180,4.45,4,117,97,NA,university degree,rural,male,yes,27,left,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,chemistry
7181,5.4,2,277,160,NA,high school,urban,male,yes,28,right,other,heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,NA
7182,2,3,600,95,NA,less than high school,rural,male,no,25,both,hindu,other,asian,no,never married,3,TRUE,psychology
7183,5.2,11,151,128,NA,university degree,rural,male,no,22,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,engineering physics
7184,5,10,156,110,NA,high school,suburban,male,yes,22,right,christian (catholic),heterosexual,other,yes,never married,1,TRUE,NA
7185,5.8,2,153,243,NA,high school,suburban,male,yes,24,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,5,TRUE,NA
7186,5.2,5,224,282,NA,graduate degree,suburban,male,no,37,both,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,medicine
7187,4.8,2,163,134,NA,high school,urban,male,yes,27,left,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
7188,5.65,9,66,83,NA,high school,suburban,male,yes,22,right,jewish,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
7189,5.15,4,140,106,NA,university degree,urban,male,yes,19,right,muslim,heterosexual,asian,no,never married,4,TRUE,business management
7190,5,662,210,134,NA,high school,urban,female,no,20,right,NA,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
7191,4.35,21,215,190,NA,high school,urban,male,no,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,economics
7192,4.85,5,299,114,NA,university degree,suburban,male,no,25,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,ict
7193,4.95,4,257,225,NA,high school,rural,male,yes,40,both,christian (other),heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,NA
7194,4.7,39,254,190,NA,high school,urban,male,yes,34,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
7195,4.65,7,1216,136,NA,high school,urban,male,no,19,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,molecular biology
7196,5.1,2,184,198,NA,university degree,suburban,male,yes,29,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,computer science
7197,5.4,20,298,289,NA,university degree,urban,male,yes,39,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,computer science
